doctor_id,hospital_id,name,gender,age,specialty,sub_specialty,primary_qualification,additional_qualification,years_experience,seniority_level,board_certified,on_call,shift_type,prefers_trauma_cases,telemedicine_enabled,languages_spoken,max_concurrent_cases,avg_consultation_time_min,avg_response_time_to_call_min,last_appraisal_score,doctor_quality_score,burnout_risk_score,contact_channel
DOC_0001,HOSP_001,Nikita Ghosh,F,53,TRAUMA,POLYTRAUMA,MBBS,Fellowship in Neuro Critical Care,16,SENIOR_CONSULTANT,True,False,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Urdu']",1,21,5.79,4.32,0.89,0.26,app://doctor/DOC_0001
DOC_0002,HOSP_001,Juhi Iyer,M,54,NEURO,STROKE_SPECIALIST,"MBBS, DNB",Fellowship in Trauma Care,10,CONSULTANT,False,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Tamil']",4,24,4.92,4.46,0.6,0.43,app://doctor/DOC_0002
DOC_0003,HOSP_001,Sara Roy,M,45,NEURO,STROKE_SPECIALIST,"MBBS, DNB",Fellowship in Neuro Critical Care,25,SENIOR_CONSULTANT,True,False,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",2,25,2.91,4.6,0.95,0.35,app://doctor/DOC_0003
DOC_0004,HOSP_001,Rohan Banerjee,F,63,EMERGENCY_MEDICINE,RESUSCITATION_EXPERT,MBBS,FNB Critical Care,32,SENIOR_CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",1,12,3.65,3.81,0.91,0.22,app://doctor/DOC_0004
DOC_0005,HOSP_001,Nikita Iyer,F,63,PULMONOLOGY,SLEEP_MEDICINE,"MBBS, DNB",Fellowship in Pediatric ICU,23,SENIOR_CONSULTANT,False,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",2,13,7.49,3.63,0.71,0.48,app://doctor/DOC_0005
DOC_0006,HOSP_001,Kabir Nair,M,58,NEPHROLOGY,TRANSPLANT_NEPRHOLOGY,MBBS,FNB Critical Care,24,SENIOR_CONSULTANT,True,True,DAY,False,True,"['Bengali', 'English', 'Hindi']",2,18,1.41,3.11,0.88,0.25,app://doctor/DOC_0006
DOC_0007,HOSP_001,Ananya Ghosh,F,34,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, DNB",Fellowship in Interventional Cardiology,12,CONSULTANT,True,True,NIGHT,True,True,"['Bengali', 'English', 'Hindi']",1,22,5.43,4.15,0.78,0.44,app://doctor/DOC_0007
DOC_0008,HOSP_001,Ananya Singh,OTHER,47,EMERGENCY_MEDICINE,RESUSCITATION_EXPERT,MBBS,Fellowship in Neuro Critical Care,15,SENIOR_CONSULTANT,False,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi', 'Tamil']",3,28,6.59,4.22,0.74,0.67,app://doctor/DOC_0008
DOC_0009,HOSP_001,Riya Ghosh,M,44,TRAUMA,POLYTRAUMA,"MBBS, MD",FNB Critical Care,5,JUNIOR_RESIDENT,True,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi', 'Tamil']",3,11,3.08,4.41,0.54,0.72,app://doctor/DOC_0009
DOC_0010,HOSP_001,Siddharth Mukherjee,OTHER,42,NEPHROLOGY,DIALYSIS_SPECIALIST,"MBBS, DNB",,10,CONSULTANT,True,False,DAY,False,True,"['Bengali', 'English', 'Hindi']",1,15,8.13,4.19,0.68,0.53,app://doctor/DOC_0010
DOC_0011,HOSP_001,Priya Patel,M,57,TRAUMA,ORTHO_TRAUMA,"MBBS, DNB",Fellowship in Trauma Care,32,SENIOR_CONSULTANT,False,False,ROTATING,True,False,"['Bengali', 'English', 'Hindi']",4,20,6.43,3.05,0.68,0.49,app://doctor/DOC_0011
DOC_0012,HOSP_001,Nikita Chatterjee,M,45,PULMONOLOGY,CRITICAL_CARE,"MBBS, MD",Fellowship in Interventional Cardiology,29,SENIOR_CONSULTANT,True,False,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Tamil']",4,12,5.23,3.82,0.87,0.47,app://doctor/DOC_0012
